259.4,6.8
286.7,8.3
343.6,8.6
289.0,3.0
194.6,6.1
336.9,5.6
17.7,9.6
156.1,3.8
302.3,5.1
304.5,3.6
350.5,9.8
306.2,10.6
302.2,5.7
121.8,4.0
255.1,6.1
346.9,4.1
64.6,11.3
289.7,10.0
252.7,2.2
302.8,4.7
205.1,2.9
323.0,5.7
269.7,7.1
295.2,3.2
215.4,9.0
242.3,10.3
237.9,6.9
43.3,5.7
205.0,15.6
353.5,2.5
226.8,11.7
322.2,6.4
17.3,10.3
325.4,3.0
336.9,5.2
262.0,7.9
222.7,8.9
26.3,6.5
300.1,6.2
322.8,2.9
79.9,9.1
40.9,1.1
244.7,6.2
253.6,6.5
357.0,4.3
125.8,11.4
86.0,3.1
200.8,5.2
227.8,11.4
241.4,5.1
17.1,3.6
215.9,6.1
204.8,6.2
351.6,8.6
341.8,2.7
133.5,5.0
302.9,8.3
31.6,10.7
173.4,6.8
5.4,3.3
240.4,9.4
12.4,11.6
137.7,10.8
224.6,0.9
282.3,12.8
302.8,1.2
156.2,8.4
346.2,7.0
348.6,4.1
12.9,9.0
267.2,8.9
12.2,5.3
259.3,2.8
9.8,9.1
293.8,7.6
33.7,5.7
359.2,11.9
11.5,4.5
187.2,8.3
111.0,2.7
34.1,5.4
264.2,6.3
173.4,5.4
157.4,13.7
290.2,11.9
19.3,10.5
242.2,5.8
241.1,6.5
40.6,10.6
165.5,11.3
332.1,9.5
327.1,7.1
148.9,9.6
248.8,7.1
295.2,2.6
344.2,7.3
166.0,13.6
107.5,5.5
317.7,1.6
30.9,6.7
351.5,10.4
253.3,3.9
25.0,8.0
147.8,8.8
352.3,9.7
180.9,11.9
14.2,6.8
204.3,2.7
220.1,7.9
239.4,1.9
90.5,2.0
333.9,0.9
6.5,6.4
289.0,13.4
349.3,3.0
262.7,18.0
152.3,4.8
313.8,8.1
332.6,2.6
83.4,7.5
339.0,7.4
303.6,4.4
316.0,2.8
247.5,5.0
260.2,5.3
275.6,6.5
334.0,11.1
45.0,5.0
13.5,10.1
255.0,3.4
73.3,6.6
288.2,4.5
355.9,4.2
14.4,6.0
347.7,5.5
345.6,7.0
275.8,7.6
170.9,11.0
157.4,4.5
347.6,4.9
270.9,6.5
189.9,5.8
34.0,18.3
141.0,4.2
46.6,6.0
332.1,1.5
9.0,1.7
342.7,4.4
356.4,3.8
9.0,6.2
60.5,2.2
326.2,4.4
285.8,4.2
298.4,9.1
126.8,8.2
125.3,0.9
31.0,7.9
285.0,7.7
38.1,2.9
340.0,3.0
249.1,5.6
42.7,7.1
9.4,9.5
48.5,2.3
336.7,14.3
344.7,9.5
297.6,0.8
301.8,3.5
168.8,10.7
328.5,3.0
7.8,2.1
34.5,11.6
261.4,10.3
318.5,5.5
324.7,2.9
353.0,6.5
202.1,6.9
234.5,0.5
201.5,10.6
90.8,9.6
156.2,8.7
21.7,13.4
238.4,11.3
357.5,6.3
219.0,8.7
356.3,9.1
37.9,14.3
191.5,16.5
249.1,8.2
333.3,6.1
293.8,3.7
247.7,8.1
123.1,4.3
77.3,3.2
87.1,9.0
23.9,4.8
138.8,2.7
139.8,3.2
260.3,5.5
253.4,11.1
199.9,11.5
40.2,8.1
258.5,12.1
149.8,7.5
33.9,12.8
296.7,4.2
277.8,4.1
157.6,8.1
190.1,7.6
174.2,6.2
1.7,8.3
22.8,5.0
108.8,12.7
6.9,11.2
268.3,8.9
358.8,7.5
5.8,11.2
353.4,9.7
6.2,8.8
77.1,3.0
25.0,4.4
292.0,6.2
72.2,6.0
356.6,15.0
286.5,9.0
308.9,7.0
80.0,5.1
340.0,5.7
13.1,1.9
52.8,1.9
177.7,5.5
14.0,6.2
181.3,11.1
228.4,14.5
4.9,13.5
341.4,2.6
21.8,9.3
26.7,13.3
66.8,11.2
138.5,9.1
334.2,4.1
14.1,3.4
255.3,5.0
321.6,4.2
293.7,8.1
234.1,6.2
124.7,5.3
170.3,2.6
8.4,5.5
98.0,8.0
303.9,11.9
156.1,2.0
144.5,8.9
7.1,10.9
125.0,5.8
190.8,10.6
215.6,9.4
44.0,8.1
37.7,7.8
311.4,6.0
323.5,4.1
280.6,2.9
289.0,6.0
253.9,2.1
337.2,4.3
13.9,6.6
30.5,7.9
215.9,5.6
345.7,5.0
231.4,2.7
339.0,4.2
204.2,8.6
129.8,3.8
248.7,6.4
229.5,4.0
286.1,6.9
282.3,2.9
30.2,4.9
224.4,6.8
359.5,4.3
321.9,10.9
238.2,10.9
135.0,5.6
116.9,5.2
286.4,2.9
184.4,8.9
187.9,7.1
272.8,4.8
256.6,11.8
169.5,4.5
356.2,3.5
9.0,6.5
281.0,7.5
321.5,1.9
125.9,11.0
352.8,11.2
308.6,5.4
228.8,10.5
135.2,5.1
109.0,2.0
328.4,8.7
216.9,9.0
324.5,8.4
331.1,6.2
144.7,11.1
336.8,7.6
260.4,10.3
260.3,6.7
231.7,5.2
348.7,11.6
206.8,8.4
143.4,11.0
306.9,2.7
202.0,6.4
255.1,2.8
93.4,8.7
74.2,1.1
262.6,3.5
333.8,2.9
345.0,9.7
354.0,8.1
43.0,4.4
264.4,3.2
256.0,0.9
328.6,9.7
44.8,3.1
147.1,4.7
60.1,4.9
205.6,6.9
192.6,10.1
20.7,4.6
73.5,12.0
318.5,8.0
310.2,6.2
352.6,11.1
338.9,7.7
38.8,6.8
359.6,8.7
125.7,11.4
31.4,5.4
300.5,0.9
291.1,3.2
326.9,5.1
236.4,9.8
15.6,8.8
65.6,6.4
156.5,15.4
297.8,1.3
61.0,10.1
309.9,6.2
22.8,4.6
225.3,7.7
209.9,9.5
152.6,10.1
224.1,8.6
